248,Broadway & W 58 St,422,2
737,Forsyth St & Broome St,2003,1
1088,Central Park S & 6 Ave,153,1
1712,Willoughby Ave & Walworth St,293,1
521,E 2 St & Avenue B,2012,1
368,Pershing Square S,2023,1
197,Washington Pl & 6 Ave,223,1
154,Greenwich St & N Moore St,426,2
152,Greenwich St & N Moore St,426,1
201,E 39 St & 3 Ave,440,1
508,W 22 St & 8 Ave,458,1
544,Maiden Ln & Pearl St,2004,2
298,8 Ave & W 33 St,525,1
412,E 2 St & 2 Ave,341,1
640,W 39 St & 9 Ave,466,2
309,8 Ave & W 33 St,525,1
1189,E 27 St & 1 Ave,477,1
220,9 Ave & W 45 St,173,1
1270,W 43 St & 6 Ave,127,1
256,Mott St & Prince St,293,1
444,E 3 St & 1 Ave,487,1
246,W 52 St & 11 Ave,478,1
626,W 26 St & 8 Ave,479,1
1087,State St & Smith St,361,1
248,E 10 St & Avenue A,394,1
393,South End Ave & Liberty St,427,1
316,Willoughby Ave & Hall St,420,1
451,W 52 St & 9 Ave,525,1
178,West St & Chambers St,329,1
594,Broadway & E 14 St,174,1
373,W 39 St & 9 Ave,463,1
1278,E 52 St & 2 Ave,441,1
472,W 20 St & 8 Ave,537,1
929,W 24 St & 7 Ave,268,2
854,E 59 St & Sutton Pl,285,1
409,State St & Smith St,391,1
240,9 Ave & W 45 St,173,1
843,Barrow St & Hudson St,345,1
426,E 10 St & Avenue A,297,2
332,E 31 St & 3 Ave,444,1
819,Barrow St & Hudson St,345,2
591,E 7 St & Avenue A,528,1
295,Mott St & Prince St,303,1
203,Avenue D & E 3 St,400,1
1043,1 Ave & E 18 St,305,1
153,University Pl & E 14 St,294,1
449,1 Ave & E 18 St,402,2
1444,Pershing Square S,268,2
999,E 25 St & 1 Ave,161,1
262,E 2 St & 2 Ave,317,2
358,Great Jones St,301,1
728,W 56 St & 6 Ave,442,1
810,Cliff St & Fulton St,151,2
756,W 15 St & 7 Ave,545,1
345,Washington Pl & 6 Ave,435,2
1027,Murray St & West St,291,1
774,W 18 St & 6 Ave,447,1
239,1 Ave & E 15 St,497,1
1040,Broadway & W 55 St,294,1
216,W 26 St & 8 Ave,388,1
569,E 3 St & 1 Ave,303,2
966,Willoughby Ave & Walworth St,373,1
553,8 Ave & W 33 St,447,1
551,E 16 St & Irving Pl,375,2
909,W 43 St & 10 Ave,540,2
629,W 47 St & 10 Ave,490,1
420,W 13 St & 6 Ave,537,1
214,Warren St & Church St,529,1
1711,Henry St & Grand St,352,1
1686,E 31 St & 3 Ave,375,1
580,DeKalb Ave & S Portland Ave,430,2
1365,W 39 St & 9 Ave,426,2
356,W 24 St & 7 Ave,505,2
249,W 21 St & 6 Ave,352,1
217,E 10 St & 5 Ave,345,1
219,Reade St & Broadway,82,1
817,E 33 St & 1 Ave,466,1
706,E 47 St & 1 Ave,474,2
451,Henry St & Grand St,361,1
286,8 Ave & W 33 St,525,2
676,E 4 St & 2 Ave,116,2
